query_idx,query_label,ap__DINOv2-Base,rank1__DINOv2-Base,first_pos_rank__DINOv2-Base,top1_idx__DINOv2-Base,top1_label__DINOv2-Base,top1_sim__DINOv2-Base,ap__score_fusion,rank1__score_fusion,first_pos_rank__score_fusion,top1_idx__score_fusion,top1_label__score_fusion,top1_sim__score_fusion,ap__embedding_concat,rank1__embedding_concat,first_pos_rank__embedding_concat,top1_idx__embedding_concat,top1_label__embedding_concat,top1_sim__embedding_concat,oracle_ap,oracle_rank1,best_model,best_model_ap,score_fusion_delta_vs_best_model,score_fusion_delta_vs_oracle,score_fusion_beats_best_model,score_fusion_matches_best_model
30,Kamaikua,0.11409501846592031,False,12,1436,Ousado,0.7001034617424011,0.11409501846592031,False,12,1436,Ousado,0.6470196711168498,0.11409501846592031,False,12,1436,Ousado,0.7001041741700151,0.11409501846592031,False,DINOv2-Base,0.11409501846592031,0.0,0.0,False,True
102,Tomas,0.12929168384334078,True,1,103,Tomas,0.8612744808197021,0.12929168384334078,True,1,103,Tomas,0.8272048222815257,0.12929168384334078,True,1,103,Tomas,0.8612745921513458,0.12929168384334078,True,DINOv2-Base,0.12929168384334078,0.0,0.0,False,True
117,Bororo,0.02667830751974352,False,45,130,Katniss,0.696779727935791,0.02667830751974352,False,45,130,Katniss,0.6435364577787624,0.02667830751974352,False,45,130,Katniss,0.6967803492948961,0.02667830751974352,False,DINOv2-Base,0.02667830751974352,0.0,0.0,False,True
181,Akaloi,0.03684408854028329,False,4,1245,Medrosa,0.8425915837287903,0.03684408854028329,False,4,1245,Medrosa,0.8051850876572191,0.03684408854028329,False,4,1245,Medrosa,0.8425917238958267,0.03684408854028329,False,DINOv2-Base,0.03684408854028329,0.0,0.0,False,True
182,Akaloi,0.1143588127351379,True,1,183,Akaloi,0.9075618386268616,0.1143588127351379,True,1,183,Akaloi,0.8830388935488256,0.1143588127351379,True,1,183,Akaloi,0.9075618471553897,0.1143588127351379,True,DINOv2-Base,0.1143588127351379,0.0,0.0,False,True
212,Alira,0.008402161728361415,False,408,1047,Marcela,0.773851215839386,0.008402161728361415,False,408,1047,Marcela,0.7267244819900963,0.008402161728361415,False,408,1047,Marcela,0.7738519232083395,0.008402161728361415,False,DINOv2-Base,0.008402161728361415,0.0,0.0,False,True
213,Alira,0.008591306557077703,False,646,851,Lua,0.8043982982635498,0.008591306557077703,False,646,851,Lua,0.7610946469355472,0.008591306557077703,False,646,851,Lua,0.8043974527390302,0.008591306557077703,False,DINOv2-Base,0.008591306557077703,0.0,0.0,False,True
251,Ariely,0.3435384534283084,False,2,970,Madalena,0.7107101678848267,0.3435384534283084,False,2,970,Madalena,0.65819817917213,0.3435384534283084,False,2,970,Madalena,0.7107098746197952,0.3435384534283084,False,DINOv2-Base,0.3435384534283084,0.0,0.0,False,True
304,Bagua,0.980319528488504,True,1,281,Bagua,0.8914925456047058,0.980319528488504,True,1,281,Bagua,0.8634487111201065,0.980319528488504,True,1,281,Bagua,0.8914933634734127,0.980319528488504,True,DINOv2-Base,0.980319528488504,0.0,0.0,False,True
352,Benita,0.7608355672895448,True,1,338,Benita,0.8330984711647034,0.7608355672895448,True,1,338,Benita,0.7941102809773405,0.7608355672895448,True,1,338,Benita,0.8330981319678379,0.7608355672895448,True,DINOv2-Base,0.7608355672895448,0.0,0.0,False,True
353,Benita,0.7592278207721319,True,1,338,Benita,0.8741201162338257,0.7592278207721319,True,1,338,Benita,0.8425170677780915,0.7592278207721319,True,1,338,Benita,0.8741208631611745,0.7592278207721319,True,DINOv2-Base,0.7592278207721319,0.0,0.0,False,True
360,Benita,0.72039510760475,True,1,338,Benita,0.8212336897850037,0.72039510760475,True,1,338,Benita,0.7803764751593606,0.72039510760475,True,1,338,Benita,0.8212336749243343,0.72039510760475,True,DINOv2-Base,0.72039510760475,0.0,0.0,False,True
424,Estella,1.0,True,1,427,Estella,0.9748337268829346,1.0,True,1,427,Estella,0.9674360864815351,1.0,True,1,427,Estella,0.9748339215363941,1.0,True,DINOv2-Base,1.0,0.0,0.0,False,True
500,Jaju,0.9209849799969432,True,1,509,Jaju,0.9020243883132935,0.9209849799969432,True,1,509,Jaju,0.8762633358082802,0.9209849799969432,True,1,509,Jaju,0.9020247219633731,0.9209849799969432,True,DINOv2-Base,0.9209849799969432,0.0,0.0,False,True
536,Jaju,0.7124754489371451,True,1,540,Jaju,0.91755610704422,0.7124754489371451,True,1,540,Jaju,0.8953338103191855,0.7124754489371451,True,1,540,Jaju,0.9175557126751579,0.7124754489371451,True,DINOv2-Base,0.7124754489371451,0.0,0.0,False,True
537,Jaju,0.5976111644648149,True,1,540,Jaju,0.9232941269874573,0.5976111644648149,True,1,540,Jaju,0.9024311149378331,0.5976111644648149,True,1,540,Jaju,0.9232940193654477,0.5976111644648149,True,DINOv2-Base,0.5976111644648149,0.0,0.0,False,True
539,Jaju,0.7144800966290663,True,1,540,Jaju,0.9107017517089844,0.7144800966290663,True,1,540,Jaju,0.8868924468071154,0.7144800966290663,True,1,540,Jaju,0.9107020687688416,0.7144800966290663,True,DINOv2-Base,0.7144800966290663,0.0,0.0,False,True
541,Jaju,0.6832930337500908,True,1,540,Jaju,0.9259430170059204,0.6832930337500908,True,1,540,Jaju,0.9057169558341809,0.6832930337500908,True,1,540,Jaju,0.9259428908053366,0.6832930337500908,True,DINOv2-Base,0.6832930337500908,0.0,0.0,False,True
542,Jaju,0.4386490818471828,True,1,534,Jaju,0.7910939455032349,0.4386490818471828,True,1,534,Jaju,0.7460275926913047,0.4386490818471828,True,1,534,Jaju,0.7910940376569608,0.4386490818471828,True,DINOv2-Base,0.4386490818471828,0.0,0.0,False,True
543,Jaju,0.5355494603886193,True,1,524,Jaju,0.8272095918655396,0.5355494603886193,True,1,524,Jaju,0.7872787696859358,0.5355494603886193,True,1,524,Jaju,0.8272102083823821,0.5355494603886193,True,DINOv2-Base,0.5355494603886193,0.0,0.0,False,True
555,Jaju,0.04919638770858609,False,126,419,Bororo,0.6478661298751831,0.04919638770858609,False,126,419,Bororo,0.5933630922924195,0.04919638770858609,False,126,419,Bororo,0.6478660643170981,0.04919638770858609,False,DINOv2-Base,0.04919638770858609,0.0,0.0,False,True
556,Jaju,0.03246694566172612,False,295,78,Overa,0.6451522707939148,0.03246694566172612,False,295,78,Overa,0.5906389548274009,0.03246694566172612,False,295,78,Overa,0.6451516892128104,0.03246694566172612,False,DINOv2-Base,0.03246694566172612,0.0,0.0,False,True
570,Kamaikua,0.4811598811361058,True,1,573,Kamaikua,0.8936324715614319,0.4811598811361058,True,1,573,Kamaikua,0.8660448258599382,0.4811598811361058,True,1,573,Kamaikua,0.8936324356756435,0.4811598811361058,True,DINOv2-Base,0.4811598811361058,0.0,0.0,False,True
571,Kamaikua,0.47884011245829006,True,1,572,Kamaikua,0.8840776085853577,0.47884011245829006,True,1,572,Kamaikua,0.8544832062827862,0.47884011245829006,True,1,572,Kamaikua,0.884077606346073,0.47884011245829006,True,DINOv2-Base,0.47884011245829006,0.0,0.0,False,True
699,Katniss,0.9950575053253624,True,1,695,Katniss,0.9532838463783264,0.9950575053253624,True,1,695,Katniss,0.9399810361918264,0.9950575053253624,True,1,695,Katniss,0.9532832009941645,0.9950575053253624,True,DINOv2-Base,0.9950575053253624,0.0,0.0,False,True
700,Katniss,0.9919293921747947,True,1,695,Katniss,0.9170299768447876,0.9919293921747947,True,1,695,Katniss,0.8946844470181043,0.9919293921747947,True,1,695,Katniss,0.9170307616444305,0.9919293921747947,True,DINOv2-Base,0.9919293921747947,0.0,0.0,False,True
701,Katniss,0.9966678058783323,True,1,695,Katniss,0.9435535669326782,0.9966678058783323,True,1,695,Katniss,0.9277139410546072,0.9966678058783323,True,1,695,Katniss,0.9435529576633508,0.9966678058783323,True,DINOv2-Base,0.9966678058783323,0.0,0.0,False,True
702,Katniss,0.9917211743171405,True,1,695,Katniss,0.9231340289115906,0.9917211743171405,True,1,695,Katniss,0.902232711106155,0.9917211743171405,True,1,695,Katniss,0.9231337156952786,0.9917211743171405,True,DINOv2-Base,0.9917211743171405,0.0,0.0,False,True
703,Katniss,0.9902311733790485,True,1,708,Katniss,0.8863006234169006,0.9902311733790485,True,1,708,Katniss,0.8571661738164674,0.9902311733790485,True,1,708,Katniss,0.8862999968165626,0.9902311733790485,True,DINOv2-Base,0.9902311733790485,0.0,0.0,False,True
704,Katniss,0.9902656514769047,True,1,695,Katniss,0.9347773194313049,0.9902656514769047,True,1,695,Katniss,0.91671871603641,0.9902656514769047,True,1,695,Katniss,0.9347769421741993,0.9902656514769047,True,DINOv2-Base,0.9902656514769047,0.0,0.0,False,True
705,Katniss,0.995477329687856,True,1,698,Katniss,0.9383389949798584,0.995477329687856,True,1,698,Katniss,0.9211730193345301,0.995477329687856,True,1,698,Katniss,0.9383392329945974,0.995477329687856,True,DINOv2-Base,0.995477329687856,0.0,0.0,False,True
743,Kwang,0.9787012402699741,True,1,761,Kwang,0.9169217348098755,0.9787012402699741,True,1,761,Kwang,0.8945508811573702,0.9787012402699741,True,1,761,Kwang,0.9169220871602022,0.9787012402699741,True,DINOv2-Base,0.9787012402699741,0.0,0.0,False,True
744,Kwang,0.8962255423504831,True,1,801,Kwang,0.8384982347488403,0.8962255423504831,True,1,801,Kwang,0.8004003207768302,0.8962255423504831,True,1,801,Kwang,0.8384984482653633,0.8962255423504831,True,DINOv2-Base,0.8962255423504831,0.0,0.0,False,True
745,Kwang,0.9731414386770689,True,1,761,Kwang,0.9002981781959534,0.9731414386770689,True,1,761,Kwang,0.874156501028299,0.9731414386770689,True,1,761,Kwang,0.9002980111257162,0.9731414386770689,True,DINOv2-Base,0.9731414386770689,0.0,0.0,False,True
746,Kwang,0.5271654947529528,True,1,803,Kwang,0.8336387872695923,0.5271654947529528,True,1,803,Kwang,0.7947385635048118,0.5271654947529528,True,1,803,Kwang,0.8336382891566817,0.5271654947529528,True,DINOv2-Base,0.5271654947529528,0.0,0.0,False,True
747,Kwang,0.140563329953869,False,16,1174,Medrosa,0.8344125747680664,0.140563329953869,False,16,1174,Medrosa,0.7956387605141936,0.140563329953869,False,16,1174,Medrosa,0.8344123415266516,0.140563329953869,False,DINOv2-Base,0.140563329953869,0.0,0.0,False,True
748,Kwang,0.5103702239324159,True,1,804,Kwang,0.8514832258224487,0.5103702239324159,True,1,804,Kwang,0.8156277670047571,0.5103702239324159,True,1,804,Kwang,0.8514831628226625,0.5103702239324159,True,DINOv2-Base,0.5103702239324159,0.0,0.0,False,True
775,Kwang,0.980556466836571,True,1,36,Kwang,0.9844166040420532,0.980556466836571,True,1,36,Kwang,0.9797718402987192,0.980556466836571,True,1,36,Kwang,0.98441676835132,0.980556466836571,True,DINOv2-Base,0.980556466836571,0.0,0.0,False,True
776,Kwang,0.9853959148763328,True,1,36,Kwang,0.9897713661193848,0.9853959148763328,True,1,36,Kwang,0.9866989016949953,0.9853959148763328,True,1,36,Kwang,0.9897716756711338,0.9853959148763328,True,DINOv2-Base,0.9853959148763328,0.0,0.0,False,True
943,Lua,0.07415641011650545,True,1,942,Lua,0.7305480241775513,0.07415641011650545,True,1,942,Lua,0.679362467777436,0.07415641011650545,True,1,942,Lua,0.7305479719009527,0.07415641011650545,True,DINOv2-Base,0.07415641011650545,0.0,0.0,False,True
944,Lua,0.13631493701798228,True,1,942,Lua,0.8359609842300415,0.13631493701798228,True,1,942,Lua,0.7974416553024997,0.13631493701798228,True,1,942,Lua,0.8359612027068908,0.13631493701798228,True,DINOv2-Base,0.13631493701798228,0.0,0.0,False,True
945,Lua,0.09783368550057643,True,1,942,Lua,0.7878587245941162,0.09783368550057643,True,1,942,Lua,0.7423865037297906,0.09783368550057643,True,1,942,Lua,0.7878587576648416,0.09783368550057643,True,DINOv2-Base,0.09783368550057643,0.0,0.0,False,True
946,Lua,0.18467781401279731,False,2,190,Akaloi,0.6589431166648865,0.18467781401279731,False,2,190,Akaloi,0.6045470318246765,0.18467781401279731,False,2,190,Akaloi,0.6589431045690677,0.18467781401279731,False,DINOv2-Base,0.18467781401279731,0.0,0.0,False,True
947,Lua,0.20295392610908877,True,1,942,Lua,0.7154626250267029,0.20295392610908877,True,1,942,Lua,0.6632378977536589,0.20295392610908877,True,1,942,Lua,0.7154629915139278,0.20295392610908877,True,DINOv2-Base,0.20295392610908877,0.0,0.0,False,True
948,Lua,0.258407781197225,True,1,942,Lua,0.6534832715988159,0.258407781197225,True,1,942,Lua,0.5990214201660644,0.258407781197225,True,1,942,Lua,0.6534832093992224,0.258407781197225,True,DINOv2-Base,0.258407781197225,0.0,0.0,False,True
