query_idx,query_label,query_file,best_model,best_model_ap,ap__score_fusion_x,score_fusion_delta_vs_best_model,score_fusion_delta_vs_oracle,ap__EVA-02,rank1__EVA-02,first_pos_rank__EVA-02,top1_idx__EVA-02,top1_label__EVA-02,top1_sim__EVA-02,top1_file__EVA-02,top3__EVA-02,ap__MiewID,rank1__MiewID,first_pos_rank__MiewID,top1_idx__MiewID,top1_label__MiewID,top1_sim__MiewID,top1_file__MiewID,top3__MiewID,ap__ConvNeXt-V2,rank1__ConvNeXt-V2,first_pos_rank__ConvNeXt-V2,top1_idx__ConvNeXt-V2,top1_label__ConvNeXt-V2,top1_sim__ConvNeXt-V2,top1_file__ConvNeXt-V2,top3__ConvNeXt-V2,ap__score_fusion_y,rank1__score_fusion,first_pos_rank__score_fusion,top1_idx__score_fusion,top1_label__score_fusion,top1_sim__score_fusion,top1_file__score_fusion,top3__score_fusion,ap__embedding_concat,rank1__embedding_concat,first_pos_rank__embedding_concat,top1_idx__embedding_concat,top1_label__embedding_concat,top1_sim__embedding_concat,top1_file__embedding_concat,top3__embedding_concat,ap__adaptive_margin_top5,rank1__adaptive_margin_top5,first_pos_rank__adaptive_margin_top5,top1_idx__adaptive_margin_top5,top1_label__adaptive_margin_top5,top1_sim__adaptive_margin_top5,top1_file__adaptive_margin_top5,top3__adaptive_margin_top5,ap__rrf_k60,rank1__rrf_k60,first_pos_rank__rrf_k60,top1_idx__rrf_k60,top1_label__rrf_k60,top1_sim__rrf_k60,top1_file__rrf_k60,top3__rrf_k60
212,Alira,train_0213.png,ConvNeXt-V2,1.0,0.09684759684759685,-0.9031524031524032,-0.9031524031524032,0.11964285714285715,False,7,971,Madalena,0.64869624376297,train_0972.png,1:Madalena|train_0972.png|0.6487 || 2:Madalena|train_0973.png|0.6342 || 3:Saseka|train_1656.png|0.6282,0.014158038143574504,False,131,850,Lua,0.45859023928642273,train_0851.png,1:Lua|train_0851.png|0.4586 || 2:Lua|train_0846.png|0.4551 || 3:Overa|train_1469.png|0.4549,1.0,True,1,208,Alira,0.6005875468254089,train_0209.png,1:Alira|train_0209.png|0.6006 || 2:Alira|train_0203.png|0.5567 || 3:Alira|train_0204.png|0.5558,0.09684759684759685,False,18,971,Madalena,0.4173657182735113,train_0972.png,1:Madalena|train_0972.png|0.4174 || 2:Madalena|train_0971.png|0.4138 || 3:Saseka|train_1656.png|0.4078,0.03886239239634387,False,49,970,Madalena,0.45209968533718625,train_0971.png,1:Madalena|train_0971.png|0.4521 || 2:Madalena|train_0972.png|0.4498 || 3:Ti|train_0100.png|0.4433,0.13622835497835498,False,14,971,Madalena,0.46339571475982666,train_0972.png,1:Madalena|train_0972.png|0.4634 || 2:Madalena|train_0971.png|0.4591 || 3:Saseka|train_1656.png|0.4521,0.16145833333333331,False,8,971,Madalena,0.03984464704990387,train_0972.png,1:Madalena|train_0972.png|0.0398 || 2:Madalena|train_0971.png|0.0391 || 3:Saseka|train_1656.png|0.0378
213,Alira,train_0214.png,ConvNeXt-V2,1.0,0.1319124953993375,-0.8680875046006625,-0.8680875046006625,0.12790422970333015,False,5,1655,Saseka,0.6285141706466675,train_1656.png,1:Saseka|train_1656.png|0.6285 || 2:Abril|train_0171.png|0.5936 || 3:Madalena|train_0972.png|0.5887,0.015453936584405808,False,129,99,Ti,0.4912905693054199,train_0100.png,1:Ti|train_0100.png|0.4913 || 2:Marcela|train_1067.png|0.4781 || 3:Lua|train_0851.png|0.4679,1.0,True,1,202,Alira,0.6060624122619629,train_0203.png,1:Alira|train_0203.png|0.6061 || 2:Alira|train_0204.png|0.5994 || 3:Alira|train_0209.png|0.5943,0.1319124953993375,False,11,1655,Saseka,0.41512385323527007,train_1656.png,1:Saseka|train_1656.png|0.4151 || 2:Ti|train_0100.png|0.4016 || 3:Madalena|train_0972.png|0.3919,0.04322128678439612,False,51,99,Ti,0.46666445481858093,train_0100.png,1:Ti|train_0100.png|0.4667 || 2:Saseka|train_1656.png|0.4463 || 3:Marcela|train_1067.png|0.4330,0.17857142857142858,False,9,1655,Saseka,0.4720911979675293,train_1656.png,1:Saseka|train_1656.png|0.4721 || 2:Ti|train_0100.png|0.4471 || 3:Madalena|train_0972.png|0.4442,0.1830794817927171,False,6,1655,Saseka,0.04074172303080559,train_1656.png,1:Saseka|train_1656.png|0.0407 || 2:Ti|train_0100.png|0.0379 || 3:Madalena|train_0972.png|0.0378
421,Bororo,train_0422.png,EVA-02,0.8333333333333333,0.1125,-0.7208333333333332,-0.7208333333333332,0.8333333333333333,True,1,116,Bororo,0.6588789224624634,train_0117.png,1:Bororo|train_0117.png|0.6589 || 2:Ousado|train_1339.png|0.6204 || 3:Bororo|train_0018.png|0.5848,0.13246268656716417,False,4,98,Ti,0.44961196184158325,train_0099.png,1:Ti|train_0099.png|0.4496 || 2:Jaju|train_0476.png|0.4154 || 3:Tomas|train_1839.png|0.4131,0.044343891402714934,False,13,1723,Solar,0.6438038349151611,train_1724.png,1:Solar|train_1724.png|0.6438 || 2:Solar|train_1722.png|0.6292 || 3:Solar|train_1723.png|0.6250,0.1125,False,8,1723,Solar,0.404297087492722,train_1724.png,1:Solar|train_1724.png|0.4043 || 2:Solar|train_1747.png|0.3955 || 3:Solar|train_1745.png|0.3836,0.1111111111111111,False,6,1838,Tomas,0.4243006456723988,train_1839.png,1:Tomas|train_1839.png|0.4243 || 2:Solar|train_1747.png|0.4148 || 3:Tomas|train_1840.png|0.4144,0.0787878787878788,False,15,1723,Solar,0.4527431130409241,train_1724.png,1:Solar|train_1724.png|0.4527 || 2:Solar|train_1747.png|0.4474 || 3:Tomas|train_1840.png|0.4331,0.10101010101010101,False,11,1723,Solar,0.03971797227859497,train_1724.png,1:Solar|train_1724.png|0.0397 || 2:Solar|train_1747.png|0.0384 || 3:Solar|train_1745.png|0.0378
422,Bororo,train_0423.png,EVA-02,0.75,0.10818713450292397,-0.6418128654970761,-0.6418128654970761,0.75,True,1,116,Bororo,0.6742130517959595,train_0117.png,1:Bororo|train_0117.png|0.6742 || 2:Ousado|train_1339.png|0.6646 || 3:Ousado|train_1338.png|0.6181,0.13443396226415094,False,4,475,Jaju,0.4726184904575348,train_0476.png,1:Jaju|train_0476.png|0.4726 || 2:Medrosa|train_1197.png|0.4258 || 3:Ti|train_0099.png|0.4249,0.027989130434782607,False,23,1429,Ousado,0.6326227784156799,train_1430.png,1:Ousado|train_1430.png|0.6326 || 2:Ousado|train_1429.png|0.6316 || 3:Bagua|train_0012.png|0.6060,0.10818713450292397,False,9,1723,Solar,0.43529150924751847,train_1724.png,1:Solar|train_1724.png|0.4353 || 2:Solar|train_1723.png|0.4208 || 3:Solar|train_1747.png|0.4123,0.12702702702702703,False,5,1723,Solar,0.4459600775696365,train_1724.png,1:Solar|train_1724.png|0.4460 || 2:Tomas|train_1839.png|0.4330 || 3:Solar|train_1747.png|0.4311,0.07291666666666666,False,16,1723,Solar,0.4914815425872803,train_1724.png,1:Solar|train_1724.png|0.4915 || 2:Solar|train_1723.png|0.4753 || 3:Solar|train_1747.png|0.4665,0.12142857142857143,False,10,1723,Solar,0.04245176911354065,train_1724.png,1:Solar|train_1724.png|0.0425 || 2:Solar|train_1723.png|0.0400 || 3:Solar|train_1747.png|0.0390
201,Alira,train_0202.png,ConvNeXt-V2,1.0,0.41798941798941797,-0.5820105820105821,-0.5820105820105821,0.17573238805362015,False,2,190,Akaloi,0.8193681240081787,train_0191.png,1:Akaloi|train_0191.png|0.8194 || 2:Alira|train_0209.png|0.8061 || 3:Marcela|train_0045.png|0.7906,0.08344050899935355,False,5,985,Marcela,0.5070580840110779,train_0986.png,1:Marcela|train_0986.png|0.5071 || 2:Marcela|train_0138.png|0.4135 || 3:Ti|train_1791.png|0.3848,1.0,True,1,213,Alira,0.586406409740448,train_0214.png,1:Alira|train_0214.png|0.5864 || 2:Alira|train_0209.png|0.5433 || 3:Alira|train_0213.png|0.5416,0.41798941798941797,True,1,208,Alira,0.47956517113480013,train_0209.png,1:Alira|train_0209.png|0.4796 || 2:Estella|train_0022.png|0.4424 || 3:Marcela|train_0986.png|0.4140,0.2095754290876242,False,2,985,Marcela,0.47639999802655814,train_0986.png,1:Marcela|train_0986.png|0.4764 || 2:Alira|train_0209.png|0.4671 || 3:Estella|train_0022.png|0.4430,0.4658119658119659,True,1,208,Alira,0.5004441142082214,train_0209.png,1:Alira|train_0209.png|0.5004 || 2:Estella|train_0022.png|0.4726 || 3:Marcela|train_0986.png|0.4270,0.39125000000000004,True,1,208,Alira,0.04547511413693428,train_0209.png,1:Alira|train_0209.png|0.0455 || 2:Estella|train_0022.png|0.0419 || 3:Marcela|train_0045.png|0.0376
99,Ti,train_0100.png,EVA-02,0.9809090909090908,0.44283282316463096,-0.5380762677444599,-0.5380762677444599,0.9809090909090908,True,1,98,Ti,0.9191100597381592,train_0099.png,1:Ti|train_0099.png|0.9191 || 2:Ti|train_1767.png|0.8983 || 3:Ti|train_1760.png|0.8478,0.06766129095741372,False,30,521,Jaju,0.6923168897628784,train_0522.png,1:Jaju|train_0522.png|0.6923 || 2:Saseka|train_1656.png|0.6580 || 3:Kamaikua|train_0592.png|0.6398,0.33551628740290407,True,1,1760,Ti,0.7263320088386536,train_1761.png,1:Ti|train_1761.png|0.7263 || 2:Ti|train_1760.png|0.7076 || 3:Apeiara|train_0225.png|0.6876,0.44283282316463096,True,1,98,Ti,0.567161095585005,train_0099.png,1:Ti|train_0099.png|0.5672 || 2:Jaju|train_0522.png|0.5565 || 3:Saseka|train_1656.png|0.5219,0.16184020197690058,False,8,521,Jaju,0.6454678294181981,train_0522.png,1:Jaju|train_0522.png|0.6455 || 2:Saseka|train_1656.png|0.6102 || 3:Jaju|train_0523.png|0.5908,0.2546673054557979,False,2,521,Jaju,0.6259722709655762,train_0522.png,1:Jaju|train_0522.png|0.6260 || 2:Ti|train_0099.png|0.5883 || 3:Saseka|train_1656.png|0.5797,0.4541659346400725,True,1,98,Ti,0.04081667214632034,train_0099.png,1:Ti|train_0099.png|0.0408 || 2:Apeiara|train_0225.png|0.0403 || 3:Ti|train_1760.png|0.0387
1428,Ousado,train_1429.png,EVA-02,0.7384257954461382,0.31654768734377764,-0.42187810810236054,-0.42187810810236054,0.7384257954461382,True,1,1337,Ousado,0.6670439839363098,train_1338.png,1:Ousado|train_1338.png|0.6670 || 2:Ousado|train_1386.png|0.5680 || 3:Ousado|train_1421.png|0.5640,0.3866499257626191,False,10,1839,Tomas,0.5714824795722961,train_1840.png,1:Tomas|train_1840.png|0.5715 || 2:Tomas|train_1842.png|0.5654 || 3:Tomas|train_1844.png|0.5573,0.07069381383002982,False,54,222,Apeiara,0.7414347529411316,train_0223.png,1:Apeiara|train_0223.png|0.7414 || 2:Apeiara|train_0225.png|0.7316 || 3:Ti|train_0099.png|0.7285,0.31654768734377764,False,6,1841,Tomas,0.4367990614445302,train_1842.png,1:Tomas|train_1842.png|0.4368 || 2:Tomas|train_1840.png|0.4360 || 3:Tomas|train_1844.png|0.4306,0.34611694846008445,False,10,1839,Tomas,0.5190553768931907,train_1840.png,1:Tomas|train_1840.png|0.5191 || 2:Tomas|train_1842.png|0.5172 || 3:Tomas|train_1844.png|0.5099,0.3580515189507151,True,1,1337,Ousado,0.485561341047287,train_1338.png,1:Ousado|train_1338.png|0.4856 || 2:Tomas|train_1842.png|0.4838 || 3:Tomas|train_1844.png|0.4764,0.34664457648515534,False,5,28,Jaju,0.034206047654151917,train_0029.png,1:Jaju|train_0029.png|0.0342 || 2:Pollyanna|train_1612.png|0.0330 || 3:Tomas|train_1842.png|0.0329
203,Alira,train_0204.png,ConvNeXt-V2,0.8055555555555555,0.38659611992945325,-0.4189594356261022,-0.4189594356261022,0.07400472999605834,False,5,190,Akaloi,0.8472580909729004,train_0191.png,1:Akaloi|train_0191.png|0.8473 || 2:Marcela|train_0045.png|0.8023 || 3:Jaju|train_0516.png|0.7899,0.18265993265993266,False,2,985,Marcela,0.4824240803718567,train_0986.png,1:Marcela|train_0986.png|0.4824 || 2:Alira|train_0209.png|0.4264 || 3:Ti|train_1791.png|0.3965,0.8055555555555555,True,1,213,Alira,0.5994212627410889,train_0214.png,1:Alira|train_0214.png|0.5994 || 2:Estella|train_0022.png|0.5805 || 3:Alira|train_0213.png|0.5558,0.38659611992945325,True,1,208,Alira,0.4918951190800066,train_0209.png,1:Alira|train_0209.png|0.4919 || 2:Estella|train_0022.png|0.4627 || 3:Ti|train_1791.png|0.4120,0.36806797853309486,True,1,208,Alira,0.5021552882205368,train_0209.png,1:Alira|train_0209.png|0.5022 || 2:Estella|train_0022.png|0.4649 || 3:Marcela|train_0986.png|0.4527,0.4230019493177388,True,1,208,Alira,0.5185290575027466,train_0209.png,1:Alira|train_0209.png|0.5185 || 2:Estella|train_0022.png|0.4998 || 3:Medrosa|train_1182.png|0.4090,0.37246216315983754,True,1,208,Alira,0.04501587152481079,train_0209.png,1:Alira|train_0209.png|0.0450 || 2:Estella|train_0022.png|0.0420 || 3:Ti|train_1791.png|0.0381
17,Bororo,train_0018.png,EVA-02,0.465625,0.054343467724168315,-0.4112815322758317,-0.4112815322758317,0.465625,True,1,420,Bororo,0.6544232368469238,train_0421.png,1:Bororo|train_0421.png|0.6544 || 2:Jaju|train_0522.png|0.6349 || 3:Jaju|train_0028.png|0.6261,0.013459073239170985,False,153,1341,Ousado,0.5256186723709106,train_1342.png,1:Ousado|train_1342.png|0.5256 || 2:Kamaikua|train_0575.png|0.5182 || 3:Ousado|train_1343.png|0.5088,0.05071200729095466,False,19,787,Kwang,0.7090529203414917,train_0788.png,1:Kwang|train_0788.png|0.7091 || 2:Kwang|train_0779.png|0.6869 || 3:Kwang|train_0789.png|0.6826,0.054343467724168315,False,25,1341,Ousado,0.45215700415915816,train_1342.png,1:Ousado|train_1342.png|0.4522 || 2:Ousado|train_1343.png|0.4446 || 3:Jaju|train_0029.png|0.4401,0.02417426256243018,False,61,1341,Ousado,0.5154537661478531,train_1342.png,1:Ousado|train_1342.png|0.5155 || 2:Ousado|train_1343.png|0.5025 || 3:Ousado|train_1349.png|0.4902,0.06314026008492568,False,20,1341,Ousado,0.5110852718353271,train_1342.png,1:Ousado|train_1342.png|0.5111 || 2:Ousado|train_1343.png|0.5029 || 3:Jaju|train_0029.png|0.5028,0.10398263595378979,False,14,1341,Ousado,0.037907008081674576,train_1342.png,1:Ousado|train_1342.png|0.0379 || 2:Jaju|train_0029.png|0.0378 || 3:Ousado|train_1343.png|0.0376
1279,Medrosa,train_1280.png,EVA-02,0.7523775191007164,0.35141672829265835,-0.400960790808058,-0.400960790808058,0.7523775191007164,True,1,1171,Medrosa,0.7919487953186035,train_1172.png,1:Medrosa|train_1172.png|0.7919 || 2:Medrosa|train_1264.png|0.7908 || 3:Medrosa|train_1263.png|0.7853,0.2048266291478375,True,1,1173,Medrosa,0.5957274436950684,train_1174.png,1:Medrosa|train_1174.png|0.5957 || 2:Marcela|train_0057.png|0.5208 || 3:Marcela|train_1026.png|0.5154,0.0619717959832538,False,68,31,Katniss,0.5802254676818848,train_0032.png,1:Katniss|train_0032.png|0.5802 || 2:Ariely|train_0243.png|0.5556 || 3:Bernard|train_0115.png|0.5443,0.35141672829265835,True,1,1173,Medrosa,0.5332618082075178,train_1174.png,1:Medrosa|train_1174.png|0.5333 || 2:Marcela|train_1026.png|0.4421 || 3:Medrosa|train_1179.png|0.4233,0.24051295842505224,True,1,1173,Medrosa,0.5891990235344337,train_1174.png,1:Medrosa|train_1174.png|0.5892 || 2:Marcela|train_1026.png|0.4885 || 3:Ti|train_1791.png|0.4642,0.16702897551265525,True,1,1173,Medrosa,0.5460520386695862,train_1174.png,1:Medrosa|train_1174.png|0.5461 || 2:Katniss|train_0032.png|0.4583 || 3:Bernard|train_0403.png|0.4563,0.3353969365229434,True,1,1173,Medrosa,0.038271207362413406,train_1174.png,1:Medrosa|train_1174.png|0.0383 || 2:Katniss|train_0032.png|0.0347 || 3:Marcela|train_1026.png|0.0321
